Date Time, Water Level, Sigma, O, F, R, L, Quality 
2017-10-13 00:00,3.691,0.026,0,0,0,0,v
2017-10-13 00:06,3.763,0.036,0,0,0,0,v
2017-10-13 00:12,3.780,0.036,0,0,0,0,v
2017-10-13 00:18,3.845,0.030,0,0,0,0,v
2017-10-13 00:24,3.894,0.030,0,0,0,0,v
2017-10-13 00:30,3.930,0.033,0,0,0,0,v
2017-10-13 00:36,3.973,0.030,0,0,0,0,v
2017-10-13 00:42,4.026,0.026,0,0,0,0,v
2017-10-13 00:48,4.055,0.033,0,0,0,0,v
2017-10-13 00:54,4.104,0.033,0,0,0,0,v
2017-10-13 01:00,4.147,0.036,0,0,0,0,v
2017-10-13 01:06,4.170,0.030,0,0,0,0,v
2017-10-13 01:12,4.213,0.043,0,0,0,0,v
2017-10-13 01:18,4.236,0.039,0,0,0,0,v
2017-10-13 01:24,4.268,0.030,0,0,0,0,v
2017-10-13 01:30,4.288,0.033,0,0,0,0,v
2017-10-13 01:36,4.327,0.033,0,0,0,0,v
2017-10-13 01:42,4.360,0.033,0,0,0,0,v
2017-10-13 01:48,4.393,0.030,0,0,0,0,v
2017-10-13 01:54,4.442,0.030,0,0,0,0,v
2017-10-13 02:00,4.459,0.030,0,0,0,0,v
2017-10-13 02:06,4.511,0.036,0,0,0,0,v
2017-10-13 02:12,4.518,0.026,0,0,0,0,v
2017-10-13 02:18,4.551,0.030,0,0,0,0,v
2017-10-13 02:24,4.547,0.026,0,0,0,0,v
2017-10-13 02:30,4.573,0.026,0,0,0,0,v
2017-10-13 02:36,4.570,0.020,0,0,0,0,v
2017-10-13 02:42,4.573,0.020,0,0,0,0,v
2017-10-13 02:48,4.577,0.023,0,0,0,0,v
2017-10-13 02:54,4.583,0.030,0,0,0,0,v
2017-10-13 03:00,4.583,0.023,0,0,0,0,v
2017-10-13 03:06,4.580,0.030,0,0,0,0,v
2017-10-13 03:12,4.580,0.026,0,0,0,0,v
2017-10-13 03:18,4.560,0.036,0,0,0,0,v
2017-10-13 03:24,4.577,0.036,0,0,0,0,v
2017-10-13 03:30,4.554,0.026,0,0,0,0,v
2017-10-13 03:36,4.564,0.026,0,0,0,0,v
2017-10-13 03:42,4.560,0.030,0,0,0,0,v
2017-10-13 03:48,4.534,0.026,0,0,0,0,v
2017-10-13 03:54,4.508,0.026,0,0,0,0,v
2017-10-13 04:00,4.491,0.023,0,0,0,0,v
2017-10-13 04:06,4.495,0.020,0,0,0,0,v
2017-10-13 04:12,4.439,0.023,0,0,0,0,v
2017-10-13 04:18,4.432,0.020,0,0,0,0,v
2017-10-13 04:24,4.364,0.020,0,0,0,0,v
2017-10-13 04:30,4.354,0.023,0,0,0,0,v
2017-10-13 04:36,4.318,0.020,0,0,0,0,v
2017-10-13 04:42,4.295,0.020,0,0,0,0,v
2017-10-13 04:48,4.262,0.023,0,0,0,0,v
2017-10-13 04:54,4.219,0.020,0,0,0,0,v
2017-10-13 05:00,4.180,0.020,0,0,0,0,v
2017-10-13 05:06,4.157,0.030,0,0,0,0,v
2017-10-13 05:12,4.101,0.033,0,0,0,0,v
2017-10-13 05:18,4.065,0.026,0,0,0,0,v
2017-10-13 05:24,4.012,0.020,0,0,0,0,v
2017-10-13 05:30,3.957,0.023,0,0,0,0,v
2017-10-13 05:36,3.911,0.023,0,0,0,0,v
2017-10-13 05:42,3.842,0.020,0,0,0,0,v
2017-10-13 05:48,3.786,0.020,0,0,0,0,v
2017-10-13 05:54,3.727,0.020,0,0,0,0,v
2017-10-13 06:00,3.671,0.020,0,0,0,0,v
2017-10-13 06:06,3.609,0.023,0,0,0,0,v
2017-10-13 06:12,3.543,0.033,0,0,0,0,v
2017-10-13 06:18,3.484,0.026,0,0,0,0,v
