OBJECTID,Sub_Basin_,C_Factor,Time_of_Co,Major_Wate,Calculated,Verified_B,Comments,created_us,created_da,last_edite,last_edi_1,Shape_Leng,Shape_Area
1,E151384.01,0.900000000000000,2.000000000000000,08,0.085437100000000,Clark Nexsen,,SW,,,,259.054832774374461,3714.656593228692145
2,E151905.01,0.900000000000000,5.700000000000000,08,0.242940650000000,Clark Nexsen,,SW,,,,858.634880827956863,10569.461251906675898
3,E152103,0.900000000000000,2.900000000000000,08,0.091667580000000,Clark Nexsen,,SW,,,,441.000171548426408,3985.547163366835321
4,E151673,0.900000000000000,2.300000000000000,08,0.045801760000000,Clark Nexsen,,SW,,,,317.906194731333358,1991.381100435259896
5,E151799,0.900000000000000,2.300000000000000,08,0.135959950000000,Clark Nexsen,,SW,,,,379.668842817784252,5911.302391460091712
6,E151688.05,0.900000000000000,7.300000000000000,08,0.459278820000000,Clark Nexsen,,SW,,,,895.043346200265091,19968.644574795303924
7,E151580,0.900000000000000,5.700000000000000,08,1.369286780000000,Clark Nexsen,,SW,,,,1306.901212872425276,59534.207968982322200
8,E155444,0.900000000000000,3.100000000000000,08,0.031735600000000,Clark Nexsen,,SW,,,,187.221972193169506,1379.808880107813820
9,E151728.01,0.900000000000000,3.100000000000000,08,0.246736850000000,Clark Nexsen,,SW,,,,566.316691919841446,10727.689191963083431
10,E151764,0.900000000000000,1.800000000000000,08,0.051621560000000,Clark Nexsen,,SW,,,,221.977929718194218,2244.415686241823096
11,E152112,0.900000000000000,1.800000000000000,08,0.087472560000000,Clark Nexsen,,SW,,,,276.867162894881005,3803.155009811498530
12,E151643,0.900000000000000,2.300000000000000,08,0.214021980000000,Clark Nexsen,,SW,,,,428.237297960147998,9305.303812004909560
13,E151641,0.900000000000000,5.000000000000000,08,0.191202760000000,Clark Nexsen,,SW,,,,416.867848345182210,8313.163780280230640
14,E151688.19,0.900000000000000,5.100000000000000,08,0.795991620000000,Clark Nexsen,,SW,,,,942.570210727896665,34608.331383466589614
15,E151438,0.900000000000000,1.800000000000000,08,0.022329180000000,Clark Nexsen,,SW,,,,184.394556363849944,970.834303432840215
16,E151751,0.900000000000000,5.700000000000000,08,0.567496550000000,Clark Nexsen,,SW,,,,694.046078908294135,24673.763134383731085
17,E151749,0.900000000000000,3.500000000000000,08,0.182443520000000,Clark Nexsen,,SW,,,,505.653172878761495,7932.327142764984274
18,E151752,0.900000000000000,5.300000000000000,08,0.522273800000000,Clark Nexsen,,SW,,,,914.084954308612396,22707.556751992215140
19,E141665,0.900000000000000,5.500000000000000,08,0.394002680000000,Clark Nexsen,,SW,,,,675.775743020154778,17130.551382216472120
20,E151663,0.900000000000000,4.400000000000000,08,0.165658720000000,Clark Nexsen,,SW,,,,356.591182949823860,7202.553398014889353
21,E151659,0.900000000000000,3.500000000000000,08,0.382176670000000,Clark Nexsen,,SW,,,,672.006705682557481,16616.377130619781383
22,E151658,0.900000000000000,6.100000000000000,08,0.591268530000000,Clark Nexsen,,SW,,,,739.387284979449532,25707.327547288747155
23,E151744,0.900000000000000,4.400000000000000,08,0.046668660000000,Clark Nexsen,,SW,,,,245.277954878820566,2029.072535639623084
24,E151737,0.900000000000000,3.000000000000000,08,0.021272580000000,Clark Nexsen,,SW,,,,126.951302274510795,924.895181111730039
25,E151743,0.900000000000000,4.300000000000000,08,0.032769580000000,Clark Nexsen,,SW,,,,206.637532971623216,1424.764562875707725
26,E151735,0.900000000000000,3.000000000000000,08,0.016341280000000,Clark Nexsen,,SW,,,,119.212894290699012,710.490481572662134
27,E151734,0.900000000000000,2.700000000000000,08,0.014706860000000,Clark Nexsen,,SW,,,,107.289171088732616,639.428737459945069
28,E151742,0.900000000000000,4.700000000000000,08,0.056658690000000,Clark Nexsen,,SW,,,,228.049823913137345,2463.421640239521821
29,E151741,0.900000000000000,4.700000000000000,08,0.040454880000000,Clark Nexsen,,SW,,,,234.332230077118879,1758.908188515429629
30,E151740,0.900000000000000,3.000000000000000,08,0.016267000000000,Clark Nexsen,,SW,,,,107.110777076938362,707.261281767751257
31,E151733,0.900000000000000,2.700000000000000,08,0.017638450000000,Clark Nexsen,,SW,,,,111.817375656142829,766.889283106375160
32,E151732,0.900000000000000,2.700000000000000,08,0.017733600000000,Clark Nexsen,,SW,,,,111.337256435882651,771.026516880824943
33,E151777,0.900000000000000,1.600000000000000,08,0.048189970000000,Clark Nexsen,,SW,,,,197.582612582985433,2095.216511177898610
34,E151776,0.900000000000000,0.900000000000000,08,0.017194250000000,Clark Nexsen,,SW,,,,111.921722802092475,747.576287546703838
35,E151739,0.900000000000000,3.200000000000000,08,0.046281390000000,Clark Nexsen,,SW,,,,202.869964164154197,2012.234527116130948
