OBJECTID,Structure_,Structure1,Type_Code,Rim_Elevat,Invert_Ele,Year_Insta,Lid_Type,Lid_Size,Invert_Typ,Comments,Date_Verif,Verified_B,Easting,Northing,Enabled,AncillaryR,UNITID,COMPTYPE,COMPKEY,CntPipe,SurveyDate,Dbasin,Owner,Collector,Picture_ID,Picture__1,Junction_B,Junction_1,Percent_Bl,Structur_1,Structur_2,Source,Major_Wate,Type_Code_,Condition,created_us,created_da,last_edite,last_edi_1,Verified_L,Structur_3,DOCID,OUTFALL,Medallion,Outfall_Re
11644,G14188,MH,32,14.52999973000,0.00000000000,1936,ST,,I,,,SW,12136602.97609999962,3480530.58191000018,1,0,G14188,30,2017214,0,,3482,CON,,,,0,0,0,CONC,0,DM,05,36,U,SW,,GISNORFOLK,2016/08/02,2,1240 SAINT JULIAN AVENUE,MH014844,,0,
11652,E14180,GB,24,6.59000000000,3.52000000000,1943,ST,,I,Debris-Minor,2006/10/04,CN,12129122.59109999985,3480510.47258999990,1,0,E14180,29,1998873,0,2006/10/04,3404,CON,,,,0,0,0,CONC,0,DM,08,28,G,SW,,GISNORFOLK,2016/11/01,3,1026 LLEWELLYN MEWS,GB014853,,0,
11653,E14179,GB,24,6.63000000000,3.40000000000,1943,ST,,I,,2006/10/04,CN,12129103.42109999992,3480506.29911000002,1,0,E14179,29,1998874,0,2006/10/04,3404,CON,,,,0,0,0,CONC,0,DM,08,28,G,SW,,GISNORFOLK,2016/11/01,3,1026 LLEWELLYN MEWS,GB014854,,0,
11655,G14186,MH,32,14.73999977000,4.96999979000,1936,ST,,I,,,SW,12136626.50329999998,3480512.23029999994,1,0,G14186,30,2017215,0,,3482,CON,,,,0,0,0,CONC,0,DM,05,36,U,SW,,GISNORFOLK,2016/08/02,4,1244 SAINT JULIAN AVENUE,MH014856,,0,
11656,G14187,CBNS,10,13.92000007000,9.15999984000,1936,NS,30X19-30,I,,,SW,12136591.30079999939,3480518.96386000002,1,0,G14187,29,2017216,0,,3482,CON,,,,0,0,0,CONC,0,DM,05,11,U,SW,,GISNORFOLK,2016/08/02,4,1240 SAINT JULIAN AVENUE,CBNS014857,,0,
11659,G14179,CBCW,7,13.84000015000,9.02999973000,1936,ST,,I,,,SW,12136701.43820000067,3480535.86073999992,1,0,G14179,29,2017218,0,,3570,CON,,,,0,0,0,CONC,0,DM,05,7,U,SW,,GISNORFOLK,2016/08/02,4,1300 SAINT JULIAN AVENUE,CBCW014860,,0,
11660,G14178,CBNS,10,13.47000026000,4.82999992000,1936,NS,30X19-30,I,,,SW,12136673.99740000069,3480508.01845999993,1,0,G14178,29,2017219,0,,3570,CON,,,,0,0,0,CONC,0,DM,05,11,U,SW,,GISNORFOLK,2016/08/02,4,1300 SAINT JULIAN AVENUE,CBNS014861,,0,
11667,E143322,CBNS,10,6.05000000000,2.34000000000,1929,NS,30X19-30,I,"Debris-Minor;Sediment, Throat: H=0.65' L=2.33'",2006/10/09,CN,12129943.29230000079,3480505.31157999998,1,0,E143322,29,1998876,0,2006/10/09,3518,CON,,,,0,0,0,CONC,0,DM,08,11,G,SW,,GISNORFOLK,2016/11/01,4,1200 PRINCE EDWARD WAY,CBNS014869,E143250,0,
11673,G14177,CBNS,10,13.68000030000,8.56999969000,1936,NS,30X19-30,I,,,SW,12136878.53490000032,3480510.09243999980,1,0,G14177,29,2017224,0,,3570,CON,,,,0,0,0,CONC,0,DM,05,11,U,SW,,MOSWALD,2016/06/09,4,1314 SAINT JULIAN AVENUE,CBNS014879,,0,
11674,G14176,CBNS,10,13.06000041000,4.65000009000,1936,NS,30X19-30,I,,,SW,12136872.79130000062,3480480.39027999993,1,0,G14176,29,2017225,0,,3570,CON,,,,0,0,0,CONC,0,DM,05,11,U,SW,,MOSWALD,2016/06/09,4,1314 SAINT JULIAN AVENUE,CBNS014880,,0,
11675,F143588,GB,24,8.46000000000,5.57000000000,1929,ST,,I,Rim and Invert Assumed,2012/10/22,SW,12132019.33049999923,3480498.90497000003,1,0,F143588,29,1998880,1,,3507,CON,CN,,,0,0,0,CONC,0,DM,08,28,U,SW,,GISNORFOLK,2016/09/30,4,1401 ANNE STREET,GB014881,E143250,0,
11676,F143587,GB,24,7.74000000000,-0.79000000000,1929,ST,,I,"Structure inaccessible, paved over, Invert Assumed",2006/12/15,CN,12132035.02500000037,3480476.52799999993,1,0,F143587,29,1998881,4,2006/12/15,3584,CON,CN,,,0,0,0,CONC,0,DM,08,28,U,SW,,GISNORFOLK,2016/09/30,4,1401 ANNE STREET,GB014882,E143250,0,
11677,E1453,MH,32,6.91000000000,0.81000000000,1943,ST,,I,Sediment,2006/10/03,CN,12128760.92500000075,3480481.92199000018,1,0,E1453,30,1998882,0,2006/10/03,3506,CON,,,,0,0,0,CONC,0,DM,08,36,G,SW,,GISNORFOLK,2016/11/01,3,1100 BOTETOURT GARDENS,MH014883,,0,
11678,F143585,PICN,50,8.11000000000,-0.79000000000,1929,ST,,I,,2012/10/22,SW,12131962.33000000007,3480475.90464999992,1,0,F143585,32,1998883,3,,3579,CON,CN,,,0,0,0,CONC,0,DM,08,54,U,SW,,GISNORFOLK,2016/09/30,4,1401 ANNE STREET,PICN014884,E143250,0,
11679,F143583,PICN,50,8.01000000000,-0.79000000000,1929,ST,,I,,2012/10/22,SW,12131934.32960000075,3480474.90473000007,1,0,F143583,32,1998884,3,,3583,CON,CN,,,0,0,0,CONC,0,DM,08,54,U,SW,,GISNORFOLK,2016/09/30,4,1401 ANNE STREET,PICN014885,E143250,0,
11680,F143584,GB,24,8.55000000000,5.73000000000,1929,ST,,I,Rim and Invert Assumed,2012/10/22,SW,12131933.32939999923,3480499.90516000008,1,0,F143584,29,1998885,1,,3524,CON,CN,,,0,0,0,CONC,0,DM,08,28,U,SW,,GISNORFOLK,2016/09/30,4,1401 ANNE STREET,GB014886,E143250,0,
11681,F143580,GB,24,8.22000000000,5.22000000000,1929,ST,,I,Rim and Invert Assumed,2012/10/22,SW,12131895.32890000008,3480496.90509000001,1,0,F143580,29,1998888,1,,3524,CON,CN,,,0,0,0,CONC,0,DM,08,28,U,SW,,GISNORFOLK,2016/09/30,4,238 E PRINCESS ANNE ROAD,GB014890,E143250,0,
11682,F143579,PICN,50,7.81000000000,-0.80000000000,1929,ST,,I,,2012/10/22,SW,12131897.32909999974,3480472.90471999999,1,0,F143579,32,1998889,4,,3583,CON,CN,,,0,0,0,CONC,0,DM,08,54,U,SW,,GISNORFOLK,2016/09/30,4,238 E PRINCESS ANNE ROAD,PICN014891,E143250,0,
11686,F143575,MH,32,7.41000000000,-0.83000000000,1929,ST,,I,May be buried,2012/10/22,SW,12131805.00080000050,3480468.31151999999,1,0,F143575,30,1998891,5,,3532,CON,CN,,,0,0,0,CONC,0,DM,08,36,U,SW,,GISNORFOLK,2016/09/30,4,238 E PRINCESS ANNE ROAD,MH014896,E143250,0,
11687,F143576,GB,24,7.23000000000,5.03000000000,1929,ST,,I,Sediment,2006/10/12,CN,12131821.90310000069,3480490.23139999993,1,0,F143576,29,1998892,1,2006/10/12,3528,CON,CN,,,0,0,0,CONC,0,DM,08,28,G,SW,,GISNORFOLK,2016/09/30,4,238 E PRINCESS ANNE ROAD,GB014897,E143250,0,
11688,F143577,PICN,50,7.40000000000,4.60000000000,1929,NA,,I,,2012/10/22,SW,12131802.97409999929,3480488.89472000021,1,0,F143577,32,2318518,3,,3528,CON,CN,,,0,0,0,CONC,0,DM,08,54,U,SW,,GISNORFOLK,2016/09/30,4,238 E PRINCESS ANNE ROAD,PICN014898,E143250,0,
11692,F143555,MH,32,7.41000000000,-0.82000000000,1929,ST,,I,Rim and Invert Assumed,2012/10/22,SW,12131785.03680000082,3480463.61182000022,1,0,F143555,30,1998895,2,,3594,CON,CN,,,0,0,0,CONC,0,DM,08,36,U,SW,,GISNORFOLK,2016/09/30,4,238 E PRINCESS ANNE ROAD,MH014904,E143250,0,
11693,E143321,CBNS,10,6.18000000000,1.43000000000,1929,NS,30X19-30,I,"Debris-Minor;Sediment, Throat: H=0.80' L=2.33'",2006/10/09,CN,12129972.26789999940,3480471.18135000020,1,0,E143321,29,1998896,0,2006/10/09,3576,CON,,,,0,0,0,CONC,0,DM,08,11,G,SW,,GISNORFOLK,2016/11/01,4,1110 GRANBY STREET,CBNS014906,E143250,0,
11694,F143589,GB,24,8.28999996000,4.92999982000,1929,ST,,I,Rim and Invert Assumed,2012/10/22,SW,12132034.33110000007,3480459.07086999994,1,0,F143589,29,1998899,1,,3584,CON,CN,,,0,0,0,CONC,0,DM,08,28,U,SW,,MOSWALD,2016/06/09,4,1401 ANNE STREET,GB014911,,0,
11695,F143545,GB,24,8.03000000000,3.68000000000,1929,GR,30X30,I,"Debris-Full; Sediment",2006/10/12,CN,12131373.23799999990,3480466.65599999996,1,0,F143545,29,1998900,2,2006/10/12,3589,CON,CN,,,0,0,0,CONC,0,DM,08,28,G,SW,,GISNORFOLK,2016/09/30,4,238 E PRINCESS ANNE ROAD,GB014912,E143250,0,
11696,F143546,GB,24,7.94000000000,4.75000000000,1929,GR,30X30,I,Sediment,2006/10/12,CN,12131396.51300000027,3480464.36101000011,1,0,F143546,29,1998901,1,2006/10/12,3549,CON,CN,,,0,0,0,CONC,0,DM,08,28,G,SW,,GISNORFOLK,2016/09/30,4,238 E PRINCESS ANNE ROAD,GB014913,E143250,0,
11697,F143620,MH,32,7.23000000000,-1.04000000000,1929,ST,,I,Box Culvert,2006/10/12,CN,12131791.39100000076,3480456.18498999998,1,0,F143620,30,1998902,2,2006/10/12,3594,CON,CN,,,0,0,0,CONC,0,DM,08,36,G,SW,,GISNORFOLK,2016/09/30,4,238 E PRINCESS ANNE ROAD,MH014914,E143250,0,
11698,F143582,GB,24,7.81000000000,5.91000000000,1929,ST,,I,,2012/10/22,SW,12131891.32909999974,3480456.90444000019,1,0,F143582,29,1998903,1,,3583,CON,CN,,,0,0,0,CONC,0,DM,08,28,U,SW,,GISNORFOLK,2016/09/30,4,238 E PRINCESS ANNE ROAD,GB014915,E143250,0,
11699,F143553,PICN,50,6.79000000000,-0.82000000000,1929,NA,,I,,2012/10/22,SW,12131752.83500000089,3480447.62687999988,1,0,F143553,32,1998904,3,,3594,CON,CN,,,0,0,0,CONC,0,DM,08,54,U,SW,,GISNORFOLK,2016/09/30,4,238 E PRINCESS ANNE ROAD,PICN014916,E143250,0,
11700,F143554,GB,24,7.26000000000,4.04000000000,1929,ST,,I,Rim and Invert Assumed,2012/10/22,SW,12131721.90379999951,3480501.58258999977,1,0,F143554,29,1998905,1,,3532,CON,CN,,,0,0,0,CONC,0,DM,08,28,U,SW,,GISNORFOLK,2016/09/30,4,238 E PRINCESS ANNE ROAD,GB014917,E143250,0,
11701,F143586,GB,24,8.43999958000,6.30000000000,1929,ST,,I,Rim and Invert Assumed,2012/10/22,SW,12131962.33009999990,3480455.90426999982,1,0,F143586,29,1998906,1,,3579,CON,CN,,,0,0,0,CONC,0,DM,08,28,U,SW,,GISNORFOLK,2016/09/30,4,1401 ANNE STREET,GB014918,E143250,0,
11707,F143578,GB,24,6.85000000000,4.85000000000,1929,ST,,I,Rim and Invert Assumed,2012/10/22,SW,12131807.73409999907,3480453.64790000021,1,0,F143578,29,1998910,2,,3594,CON,CN,,,0,0,0,CONC,0,DM,08,28,U,SW,,GISNORFOLK,2016/09/30,4,238 E PRINCESS ANNE ROAD,GB014926,E143250,0,
11712,H14175,CBNS,10,13.84000015000,9.03999996000,1947,NS,30X19-30,I,,,SW,12137145.64660000056,3480472.89076999994,1,0,H14175,29,2017232,0,,3578,CON,,,,0,0,0,CONC,0,DM,05,11,U,SW,,MOSWALD,2016/06/09,4,1416 SAINT JULIAN AVENUE,CBNS014932,,0,
11713,H14174,CBNS,10,13.10000038000,4.34999990000,1947,NS,30X19-30,I,,,SW,12137143.72350000031,3480441.09966999991,1,0,H14174,29,2017233,0,,3598,CON,,,,0,0,0,CONC,0,DM,05,11,U,SW,,MOSWALD,2016/06/09,4,1501 SAINT JULIAN AVENUE,CBNS014933,,0,
11718,G14180,MH,32,14.56000041000,11.06999969000,1936,ST,,I,,,SW,12136623.15619999915,3480429.64751000004,1,0,G14180,30,2017234,0,,3599,CON,,,,0,0,0,CONC,0,DM,05,36,U,SW,,MOSWALD,2016/06/09,4,1240 SAINT JULIAN AVENUE,MH014951,,0,
11720,G14181,PE,46,0.00000000000,11.75000000000,1936,ST,,I,,,SW,12136644.95700000040,3480425.78841000004,1,0,G14181,32,2017236,1,,3600,CON,,,,0,0,0,CONC,0,DM,05,23,U,SW,,MOSWALD,2016/06/09,2,1244 SAINT JULIAN AVENUE,PE014956,,0,
11722,E143366,PICN,50,4.73000000000,-1.49000000000,1929,ST,,I,,2012/10/22,SW,12130615.96260000020,3480427.00202000001,1,0,E143366,32,1998916,3,,3399,CON,CN,,,0,0,0,CONC,0,DM,08,54,U,SW,,GISNORFOLK,2016/11/01,4,1200 MONTICELLO AVENUE,PICN014958,E143250,0,
11724,E143357,CBNS,10,5.62000000000,0.98000000000,1929,NS,30X19-30,I,"Debris-Full, Good; Sediment, Throat: H=0.53' L=10'; VDOT DI-3C",2006/11/01,CN,12130331.33459999971,3480440.34210000001,1,0,E143357,29,1998917,0,2006/11/01,3484,CON,CN,,,0,0,0,CONC,0,DM,08,11,G,SW,,GISNORFOLK,2016/11/01,4,1201 MONTICELLO AVENUE,CBNS014960,E143250,0,
11725,E143356,MH,32,5.17000000000,1.18000000000,1929,ST,,I,"Debris-Minor;Sediment",2006/12/01,CN,12130335.93310000002,3480435.54915999994,1,0,E143356,30,1998918,0,2006/12/01,3484,CON,CN,,,0,0,0,CONC,0,DM,08,36,F,SW,,GISNORFOLK,2016/11/01,4,121 E PRINCESS ANNE ROAD,MH014961,E143250,0,
11728,H14149,CBNS,10,11.14000034000,4.09000015000,1947,NS,30X19-30,I,,,SW,12137544.10979999974,3480415.60462999996,1,0,H14149,29,2017237,0,,3598,CON,,,,0,0,0,CONC,0,DM,05,11,U,SW,,MOSWALD,2016/06/09,4,1526 SAINT JULIAN AVENUE,CBNS014965,,0,
11729,H14148,POPE,56,0.00000000000,4.09000015000,1947,NA,,I,,,SW,12137545.71790000051,3480428.40065999981,1,0,H14148,32,2017238,0,,3598,CON,,,,0,0,0,CONC,0,DM,05,52,U,SW,,MOSWALD,2016/06/03,2,1526 SAINT JULIAN AVENUE,POPE014966,,0,
11730,E143367,STUB,63,4.46000000000,1.46000000000,1929,GR,,I,Debris- Minor,2014/10/15,CN,12130635.54299999960,3480420.70501000015,1,0,E143367,32,1998919,1,,3399,CON,CN,,,0,0,0,CONC,0,DM,08,16,G,SW,,GISNORFOLK,2016/11/01,4,1200 MONTICELLO AVENUE,STUB014967,E143250,0,
11732,E14178,GB,24,6.45000000000,3.55000000000,1943,ST,,I,Debris-Minor,2006/10/04,CN,12129141.50999999978,3480409.72401000001,1,0,E14178,29,1998921,0,2006/10/04,3404,CON,,,,0,0,0,CONC,0,DM,08,28,F,SW,,GISNORFOLK,2016/11/01,3,1111 LLEWELLYN AVENUE,GB014970,,0,
11733,E14177,GB,24,6.43000000000,2.95000000000,1943,ST,,I,Debris-Minor,2006/10/04,CN,12129122.37500000000,3480406.17700000014,1,0,E14177,29,1998922,0,2006/10/04,3404,CON,,,,0,0,0,CONC,0,DM,08,28,G,SW,,GISNORFOLK,2016/11/01,3,1022 LLEWELLYN MEWS,GB014971,,0,
11737,F143544,GB,24,6.70000000000,2.83000000000,1929,GR,30X30,I,"Rim , Invert and Location Assumed",2012/10/22,SW,12131371.39360000007,3480404.08130999980,1,0,F143544,29,1998923,2,,3589,CON,CN,,,0,0,0,CONC,0,DM,08,28,U,SW,,GISNORFOLK,2016/09/30,4,238 E PRINCESS ANNE ROAD,GB014975,E143250,0,
