FID,OBJECTID,Structure_,Structure1,Type_Code,Rim_Elevat,Invert_Ele,Year_Insta,Lid_Type,Lid_Size,Invert_Typ,Comments,Date_Verif,Verified_B,Easting,Northing,Enabled,AncillaryR,UNITID,COMPTYPE,COMPKEY,CntPipe,SurveyDate,Dbasin,Owner,Collector,Picture_ID,Picture__1,Junction_B,Junction_1,Percent_Bl,Structur_1,Structur_2,Source,Major_Wate,Type_Code_,Condition,created_us,created_da,last_edite,last_edi_1,Verified_L,Structur_3,DOCID,OUTFALL,Medallion,Outfall_Re
0,11644,G14188,MH,32,14.529999730000000,0.000000000000000,1936,ST, ,I, ,,SW,12136602.976100000000000,3480530.581910000200000,1,0,G14188,30,2017214,0,,3482,CON, , , ,0,0,0,CONC,0,DM,05,36,U,SW,,GISNORFOLK,8/2/2016 0:00:00,2,1240 SAINT JULIAN AVENUE,MH014844, ,0, 
1,11652,E14180,GB,24,6.590000000000000,3.520000000000000,1943,ST, ,I,Debris-Minor,10/4/2006 0:00:00,CN,12129122.591100000000000,3480510.472589999900000,1,0,E14180,29,1998873,0,10/4/2006 0:00:00,3404,CON, , , ,0,0,0,CONC,0,DM,08,28,G,SW,,GISNORFOLK,11/1/2016 0:00:00,3,1026 LLEWELLYN MEWS,GB014853, ,0, 
2,11653,E14179,GB,24,6.630000000000000,3.400000000000000,1943,ST, ,I, ,10/4/2006 0:00:00,CN,12129103.421100000000000,3480506.299110000000000,1,0,E14179,29,1998874,0,10/4/2006 0:00:00,3404,CON, , , ,0,0,0,CONC,0,DM,08,28,G,SW,,GISNORFOLK,11/1/2016 0:00:00,3,1026 LLEWELLYN MEWS,GB014854, ,0, 
3,11655,G14186,MH,32,14.739999770000001,4.969999790000000,1936,ST, ,I, ,,SW,12136626.503300000000000,3480512.230299999900000,1,0,G14186,30,2017215,0,,3482,CON, , , ,0,0,0,CONC,0,DM,05,36,U,SW,,GISNORFOLK,8/2/2016 0:00:00,4,1244 SAINT JULIAN AVENUE,MH014856, ,0, 
4,11656,G14187,CBNS,10,13.920000070000000,9.159999839999999,1936,NS,30X19-30,I, ,,SW,12136591.300799999000000,3480518.963860000000000,1,0,G14187,29,2017216,0,,3482,CON, , , ,0,0,0,CONC,0,DM,05,11,U,SW,,GISNORFOLK,8/2/2016 0:00:00,4,1240 SAINT JULIAN AVENUE,CBNS014857, ,0, 
5,11659,G14179,CBCW,7,13.840000150000000,9.029999730000000,1936,ST, ,I, ,,SW,12136701.438200001000000,3480535.860739999900000,1,0,G14179,29,2017218,0,,3570,CON, , , ,0,0,0,CONC,0,DM,05,7,U,SW,,GISNORFOLK,8/2/2016 0:00:00,4,1300 SAINT JULIAN AVENUE,CBCW014860, ,0, 
6,11660,G14178,CBNS,10,13.470000260000001,4.829999920000000,1936,NS,30X19-30,I, ,,SW,12136673.997400001000000,3480508.018459999900000,1,0,G14178,29,2017219,0,,3570,CON, , , ,0,0,0,CONC,0,DM,05,11,U,SW,,GISNORFOLK,8/2/2016 0:00:00,4,1300 SAINT JULIAN AVENUE,CBNS014861, ,0, 
7,11667,E143322,CBNS,10,6.050000000000000,2.340000000000000,1929,NS,30X19-30,I,"Debris-Minor;Sediment, Throat: H=0.65' L=2.33'",10/9/2006 0:00:00,CN,12129943.292300001000000,3480505.311580000000000,1,0,E143322,29,1998876,0,10/9/2006 0:00:00,3518,CON, , , ,0,0,0,CONC,0,DM,08,11,G,SW,,GISNORFOLK,11/1/2016 0:00:00,4,1200 PRINCE EDWARD WAY,CBNS014869,E143250,0, 
8,11673,G14177,CBNS,10,13.680000300000000,8.569999690000000,1936,NS,30X19-30,I, ,,SW,12136878.534900000000000,3480510.092439999800000,1,0,G14177,29,2017224,0,,3570,CON, , , ,0,0,0,CONC,0,DM,05,11,U,SW,,MOSWALD,6/9/2016 0:00:00,4,1314 SAINT JULIAN AVENUE,CBNS014879, ,0, 
9,11674,G14176,CBNS,10,13.060000410000001,4.650000090000000,1936,NS,30X19-30,I, ,,SW,12136872.791300001000000,3480480.390279999900000,1,0,G14176,29,2017225,0,,3570,CON, , , ,0,0,0,CONC,0,DM,05,11,U,SW,,MOSWALD,6/9/2016 0:00:00,4,1314 SAINT JULIAN AVENUE,CBNS014880, ,0, 
10,11675,F143588,GB,24,8.460000000000001,5.570000000000000,1929,ST, ,I,Rim and Invert Assumed,10/22/2012 0:00:00,SW,12132019.330499999000000,3480498.904970000000000,1,0,F143588,29,1998880,1,,3507,CON,CN, , ,0,0,0,CONC,0,DM,08,28,U,SW,,GISNORFOLK,9/30/2016 0:00:00,4,1401 ANNE STREET,GB014881,E143250,0, 
11,11676,F143587,GB,24,7.740000000000000,-0.790000000000000,1929,ST, ,I,"Structure inaccessible, paved over, Invert Assumed",12/15/2006 0:00:00,CN,12132035.025000000000000,3480476.527999999900000,1,0,F143587,29,1998881,4,12/15/2006 0:00:00,3584,CON,CN, , ,0,0,0,CONC,0,DM,08,28,U,SW,,GISNORFOLK,9/30/2016 0:00:00,4,1401 ANNE STREET,GB014882,E143250,0, 
12,11677,E1453,MH,32,6.910000000000000,0.810000000000000,1943,ST, ,I,Sediment,10/3/2006 0:00:00,CN,12128760.925000001000000,3480481.921990000200000,1,0,E1453,30,1998882,0,10/3/2006 0:00:00,3506,CON, , , ,0,0,0,CONC,0,DM,08,36,G,SW,,GISNORFOLK,11/1/2016 0:00:00,3,1100 BOTETOURT GARDENS,MH014883, ,0, 
13,11678,F143585,PICN,50,8.109999999999999,-0.790000000000000,1929,ST, ,I, ,10/22/2012 0:00:00,SW,12131962.330000000000000,3480475.904649999900000,1,0,F143585,32,1998883,3,,3579,CON,CN, , ,0,0,0,CONC,0,DM,08,54,U,SW,,GISNORFOLK,9/30/2016 0:00:00,4,1401 ANNE STREET,PICN014884,E143250,0, 
14,11679,F143583,PICN,50,8.010000000000000,-0.790000000000000,1929,ST, ,I, ,10/22/2012 0:00:00,SW,12131934.329600001000000,3480474.904730000100000,1,0,F143583,32,1998884,3,,3583,CON,CN, , ,0,0,0,CONC,0,DM,08,54,U,SW,,GISNORFOLK,9/30/2016 0:00:00,4,1401 ANNE STREET,PICN014885,E143250,0, 
