OBJECTID,Upstream_S,Upstream_I,Upstream_A,Downstream,Downstre_1,Downstre_2,Pipe_ID,Pipe_Geome,Horizontal,Vertical_D,Pipe_Size,Pipe_Lengt,Pipe_Mater,Condition,Comments,Enabled,COMPTYPE,COMPKEY,UNITID,UNITID2,MAINCOMP1,MAINCOMP2,PARLINENO,Date_VERIF,Dbasin,Owner,Picture_ID,Picture__1,Percent_Bl,Pipe_Quant,Pipe_Squas,SurveyDate,Verified_B,Source,Major_Wate,Year_Insta,PIPE_LININ,Downstre_3,Upstream_1,created_us,created_da,last_edite,last_edi_1,Verified_L,DOCID,OUTFALL,Shape_Leng
2,,1.24000000000,1,,1.14000000000,1,,CR,30.00000000000,0.00000000000,30'',89.00000000000,RCP,G,,1,31,2014435,,,0,0,,,4844,CON,,,0,0,0,,SW,ASBLT,08,999,0,,,SW,,GISNORFOLK,2016/10/13,4,STPIPE0230,OF0105805,90.57932579050
3,,1.14000000000,1,,-0.11000000000,1,,CR,30.00000000000,0.00000000000,30'',45.00000000000,RCP,G,,1,31,2014436,,,0,0,,,4844,CON,,,0,0,0,,SW,ASBLT,08,999,0,,,SW,,GISNORFOLK,2016/10/13,4,STPIPE0231,OF0105805,43.88817075910
4,,-0.42000000000,1,,-0.44000000000,0,,CR,54.00000000000,0.00000000000,54'',57.00000000000,RCP,U,,1,31,2014437,,,0,0,,,4844,CON,,,0,0,0,,SW,ASBLT,08,999,0,,,SW,,GISNORFOLK,2016/10/13,4,STPIPE0232,OF0105805,52.44063333630
5,E151688.04,-0.70000000000,0,E151688.02,-1.71000000000,1,E151688.04-E151688.02,CR,54.00000000000,0.00000000000,54'',4.00000000000,RCP,U,,1,31,2014439,E151688.04,E151688.02,32,32,,,4844,CON,,,0,0,0,,SW,DM,08,999,0,E151688.02,E151688.04,SW,,GISNORFOLK,2016/10/13,3,STPIPE0234,OF0105805,169.37658215000
6,E151643,-0.50000000000,0,E151643.01,-0.60000000000,1,E151643-E151643.01,CR,15.00000000000,0.00000000000,15'',52.00000000000,RCP,G,,1,31,2014447,E151643,E151643.01,29,32,,,4832,CON,,,0,0,0,,SW,DM,08,999,0,E151643.01,E151643,SW,,GISNORFOLK,2016/10/07,3,STPIPE0242,OF0105805,9.94152105983
12,,4.28000000000,0,,2.84000000000,0,,CR,15.00000000000,0.00000000000,15'',313.00000000000,RCP,F,HRT LIGHT RAIL,1,31,2014501,,,0,0,,2016/09/20,4585,CON,,,0,2,0,,SW,ASBLT,08,2008,0,,,SW,,GISNORFOLK,2016/10/07,4,STPIPE0307,OF0105805,281.22440403500
48,E151639.01,-4.59000000000,0,E152020.02,0.00000000000,0,E151639.01-E152020.02,CR,60.00000000000,0.00000000000,60'',34.00000000000,RCP,U,,1,31,2014642,E151639.01,E152020.02,30,32,,,5044,CON,,,0,0,0,,SW,DM,08,1965,0,E152020.02,E151639.01,SW,,GISNORFOLK,2016/10/07,4,STPIPE0466,OF0105805,31.49114758770
49,E151580,-0.96000000000,0,E151982,-3.00000000000,1,E151580-E151982,CR,15.00000000000,0.00000000000,15'',25.00000000000,RCP,U,,1,31,2014644,E151580,E151982,29,30,,,5298,CON,,,0,0,0,,SW,DM,08,1965,0,E151982,E151580,SW,,GISNORFOLK,2016/10/18,4,STPIPE0468,OF0105805,19.12095364100
50,E151564,3.86000000000,0,E151562,0.00000000000,0,E151564-E151562,CR,15.00000000000,0.00000000000,15'',32.00000000000,CI,U,,1,31,2014645,E151564,E151562,29,32,,,5332,CON,,,0,0,0,,SW,DM,08,1965,0,E151562,E151564,SW,,GISNORFOLK,2016/10/19,2,STPIPE0469,OF0105805,9.20875947819
51,,0.00000000000,0,,-3.99000000000,0,,CR,36.00000000000,0.00000000000,36'',10.00000000000,RCP,U,,1,31,2014646,,,0,0,,,5380,CON,,,0,0,0,,SW,ASBLT,08,1965,0,,,SW,,GISNORFOLK,2016/10/19,4,STPIPE0470,OF0105805,9.30385987764
