FID,OBJECTID,Upstream_S,Upstream_I,Upstream_A,Downstream,Downstre_1,Downstre_2,Pipe_ID,Pipe_Geome,Horizontal,Vertical_D,Pipe_Size,Pipe_Lengt,Pipe_Mater,Condition,Comments,Enabled,COMPTYPE,COMPKEY,UNITID,UNITID2,MAINCOMP1,MAINCOMP2,PARLINENO,Date_VERIF,Dbasin,Owner,Picture_ID,Picture__1,Percent_Bl,Pipe_Quant,Pipe_Squas,SurveyDate,Verified_B,Source,Major_Wate,Year_Insta,PIPE_LININ,Downstre_3,Upstream_1,created_us,created_da,last_edite,last_edi_1,Verified_L,DOCID,OUTFALL,Shape_Leng
0,2, ,1.240000000000000,1, ,1.140000000000000,1, ,CR,30.000000000000000,0.000000000000000,30'',89.000000000000000,RCP,G, ,1,31,2014435, , ,0,0, ,,4844,CON, , ,0,0,0,,SW,ASBLT,08,999,0, , ,SW,,GISNORFOLK,10/13/2016 0:00:00,4,STPIPE0230,OF0105805,90.579325790499993
1,3, ,1.140000000000000,1, ,-0.110000000000000,1, ,CR,30.000000000000000,0.000000000000000,30'',45.000000000000000,RCP,G, ,1,31,2014436, , ,0,0, ,,4844,CON, , ,0,0,0,,SW,ASBLT,08,999,0, , ,SW,,GISNORFOLK,10/13/2016 0:00:00,4,STPIPE0231,OF0105805,43.888170759099999
2,4, ,-0.420000000000000,1, ,-0.440000000000000,0, ,CR,54.000000000000000,0.000000000000000,54'',57.000000000000000,RCP,U, ,1,31,2014437, , ,0,0, ,,4844,CON, , ,0,0,0,,SW,ASBLT,08,999,0, , ,SW,,GISNORFOLK,10/13/2016 0:00:00,4,STPIPE0232,OF0105805,52.440633336300003
3,5,E151688.04,-0.700000000000000,0,E151688.02,-1.710000000000000,1,E151688.04-E151688.02,CR,54.000000000000000,0.000000000000000,54'',4.000000000000000,RCP,U, ,1,31,2014439,E151688.04,E151688.02,32,32, ,,4844,CON, , ,0,0,0,,SW,DM,08,999,0,E151688.02,E151688.04,SW,,GISNORFOLK,10/13/2016 0:00:00,3,STPIPE0234,OF0105805,169.376582149999990
4,6,E151643,-0.500000000000000,0,E151643.01,-0.600000000000000,1,E151643-E151643.01,CR,15.000000000000000,0.000000000000000,15'',52.000000000000000,RCP,G, ,1,31,2014447,E151643,E151643.01,29,32, ,,4832,CON, , ,0,0,0,,SW,DM,08,999,0,E151643.01,E151643,SW,,GISNORFOLK,10/7/2016 0:00:00,3,STPIPE0242,OF0105805,9.941521059830000
5,12, ,4.280000000000000,0, ,2.840000000000000,0, ,CR,15.000000000000000,0.000000000000000,15'',313.000000000000000,RCP,F,HRT LIGHT RAIL,1,31,2014501, , ,0,0, ,9/20/2016 0:00:00,4585,CON, , ,0,2,0,,SW,ASBLT,08,2008,0, , ,SW,,GISNORFOLK,10/7/2016 0:00:00,4,STPIPE0307,OF0105805,281.224404035000020
6,48,E151639.01,-4.590000000000000,0,E152020.02,0.000000000000000,0,E151639.01-E152020.02,CR,60.000000000000000,0.000000000000000,60'',34.000000000000000,RCP,U, ,1,31,2014642,E151639.01,E152020.02,30,32, ,,5044,CON, , ,0,0,0,,SW,DM,08,1965,0,E152020.02,E151639.01,SW,,GISNORFOLK,10/7/2016 0:00:00,4,STPIPE0466,OF0105805,31.491147587699999
7,49,E151580,-0.960000000000000,0,E151982,-3.000000000000000,1,E151580-E151982,CR,15.000000000000000,0.000000000000000,15'',25.000000000000000,RCP,U, ,1,31,2014644,E151580,E151982,29,30, ,,5298,CON, , ,0,0,0,,SW,DM,08,1965,0,E151982,E151580,SW,,GISNORFOLK,10/18/2016 0:00:00,4,STPIPE0468,OF0105805,19.120953641000000
8,50,E151564,3.860000000000000,0,E151562,0.000000000000000,0,E151564-E151562,CR,15.000000000000000,0.000000000000000,15'',32.000000000000000,CI,U, ,1,31,2014645,E151564,E151562,29,32, ,,5332,CON, , ,0,0,0,,SW,DM,08,1965,0,E151562,E151564,SW,,GISNORFOLK,10/19/2016 0:00:00,2,STPIPE0469,OF0105805,9.208759478190000
9,51, ,0.000000000000000,0, ,-3.990000000000000,0, ,CR,36.000000000000000,0.000000000000000,36'',10.000000000000000,RCP,U, ,1,31,2014646, , ,0,0, ,,5380,CON, , ,0,0,0,,SW,ASBLT,08,1965,0, , ,SW,,GISNORFOLK,10/19/2016 0:00:00,4,STPIPE0470,OF0105805,9.303859877640001
10,52,E151485,-3.800000000000000,1,E151483.01,-4.060000000000000,1,E151485-E151483.01,CR,36.000000000000000,0.000000000000000,36'',17.000000000000000,RCP,U, ,1,31,2014647,E151485,E151483.01,32,30, ,,5380,CON, , ,0,0,0,,SW,DM,08,1965,0,E151483.01,E151485,SW,,GISNORFOLK,10/18/2016 0:00:00,4,STPIPE0471,OF0105805,19.311122382899999
11,53,E151579,-0.900000000000000,1,E151578,-4.600000000000000,1,E151579-E151578,CR,15.000000000000000,0.000000000000000,15'',34.000000000000000,RCP,U, ,1,31,2014649,E151579,E151578,29,32, ,,5332,CON, , ,0,0,0,,SW,DM,08,1965,0,E151578,E151579,SW,,GISNORFOLK,10/18/2016 0:00:00,4,STPIPE0473,OF0105805,7.562752666720000
