Date Time, Water Level, Sigma, O, F, R, L, Quality ,,,,
1/1/2013 0:00,0.549,0.004,0,0,0,0,v,,0:00,0.549,-3.451
1/1/2013 0:06,0.575,0.004,0,0,0,0,v,,0:06,0.575,-3.425
1/1/2013 0:12,0.604,0.004,0,0,0,0,v,,0:12,0.604,-3.396
1/1/2013 0:18,0.632,0.004,0,0,0,0,v,,0:18,0.632,-3.368
1/1/2013 0:24,0.66,0.004,0,0,0,0,v,,0:24,0.66,-3.34
1/1/2013 0:30,0.69,0.004,0,0,0,0,v,,0:30,0.69,-3.31
1/1/2013 0:36,0.717,0.004,0,0,0,0,v,,0:36,0.717,-3.283
1/1/2013 0:42,0.741,0.003,0,0,0,0,v,,0:42,0.741,-3.259
1/1/2013 0:48,0.766,0.004,0,0,0,0,v,,0:48,0.766,-3.234
1/1/2013 0:54,0.791,0.004,0,0,0,0,v,,0:54,0.791,-3.209
1/1/2013 1:00,0.82,0.005,0,0,0,0,v,,1:00,0.82,-3.18
1/1/2013 1:06,0.856,0.005,0,0,0,0,v,,1:06,0.856,-3.144
1/1/2013 1:12,0.894,0.006,0,0,0,0,v,,1:12,0.894,-3.106
1/1/2013 1:18,0.932,0.005,0,0,0,0,v,,1:18,0.932,-3.068
1/1/2013 1:24,0.965,0.005,0,0,0,0,v,,1:24,0.965,-3.035
1/1/2013 1:30,0.999,0.005,0,0,0,0,v,,1:30,0.999,-3.001
1/1/2013 1:36,1.029,0.004,0,0,0,0,v,,1:36,1.029,-2.971
1/1/2013 1:42,1.053,0.003,0,0,0,0,v,,1:42,1.053,-2.947
1/1/2013 1:48,1.074,0.003,0,0,0,0,v,,1:48,1.074,-2.926
1/1/2013 1:54,1.101,0.004,0,0,0,0,v,,1:54,1.101,-2.899
1/1/2013 2:00,1.131,0.004,0,0,0,0,v,,2:00,1.131,-2.869
1/1/2013 2:06,1.159,0.004,0,0,0,0,v,,2:06,1.159,-2.841
1/1/2013 2:12,1.179,0.003,0,0,0,0,v,,2:12,1.179,-2.821
1/1/2013 2:18,1.195,0.002,0,0,0,0,v,,2:18,1.195,-2.805
1/1/2013 2:24,1.21,0.003,0,0,0,0,v,,2:24,1.21,-2.79
1/1/2013 2:30,1.223,0.001,0,0,0,0,v,,2:30,1.223,-2.777
1/1/2013 2:36,1.231,0.001,0,0,0,0,v,,2:36,1.231,-2.769
1/1/2013 2:42,1.24,0.002,0,0,0,0,v,,2:42,1.24,-2.76
1/1/2013 2:48,1.254,0.002,0,0,0,0,v,,2:48,1.254,-2.746
1/1/2013 2:54,1.265,0.001,0,0,0,0,v,,2:54,1.265,-2.735
1/1/2013 3:00,1.268,0.001,0,0,0,0,v,,3:00,1.268,-2.732
1/1/2013 3:06,1.263,0.001,0,0,0,0,v,,3:06,1.263,-2.737
1/1/2013 3:12,1.255,0.001,0,0,0,0,v,,3:12,1.255,-2.745
1/1/2013 3:18,1.242,0.002,0,0,0,0,v,,3:18,1.242,-2.758
1/1/2013 3:24,1.22,0.004,0,0,0,0,v,,3:24,1.22,-2.78
1/1/2013 3:30,1.196,0.003,0,0,0,0,v,,3:30,1.196,-2.804
1/1/2013 3:36,1.177,0.002,0,0,0,0,v,,3:36,1.177,-2.823
1/1/2013 3:42,1.162,0.002,0,0,0,0,v,,3:42,1.162,-2.838
1/1/2013 3:48,1.139,0.004,0,0,0,0,v,,3:48,1.139,-2.861
1/1/2013 3:54,1.106,0.005,0,0,0,0,v,,3:54,1.106,-2.894
1/1/2013 4:00,1.072,0.005,0,0,0,0,v,,4:00,1.072,-2.928
1/1/2013 4:06,1.039,0.004,0,0,0,0,v,,4:06,1.039,-2.961
1/1/2013 4:12,1.008,0.005,0,0,0,0,v,,4:12,1.008,-2.992
1/1/2013 4:18,0.978,0.004,0,0,0,0,v,,4:18,0.978,-3.022
1/1/2013 4:24,0.951,0.004,0,0,0,0,v,,4:24,0.951,-3.049
1/1/2013 4:30,0.93,0.003,0,0,0,0,v,,4:30,0.93,-3.07
1/1/2013 4:36,0.903,0.005,0,0,0,0,v,,4:36,0.903,-3.097
